#chan	code	gain	vt50	innse	comment
   0	     0	85.0	155.1	 630	OK
   1	     0	83.7	154.8	 619	OK
   2	     0	81.4	152.2	 631	OK
   3	     0	80.6	148.4	 636	OK
   4	     0	81.5	152.6	 622	OK
   5	     0	82.3	152.0	 620	OK
   6	     0	81.2	152.5	 643	OK
   7	     0	82.8	153.3	 645	OK
   8	     0	80.1	149.5	 620	OK
   9	     0	84.5	156.0	 635	OK
  10	     0	78.1	147.5	 640	OK
  11	     0	79.8	150.1	 651	OK
  12	     0	81.7	154.4	 628	OK
  13	     0	79.9	149.9	 643	OK
  14	     0	79.8	148.4	 627	OK
  15	     0	80.9	150.3	 652	OK
  16	     0	78.5	146.2	 645	OK
  17	     0	81.8	153.0	 653	OK
  18	     0	78.4	148.2	 621	OK
  19	     0	82.0	152.2	 635	OK
  20	     0	77.7	145.1	 635	OK
  21	     0	79.9	147.7	 660	OK
  22	     0	78.2	146.3	 649	OK
  23	     0	80.6	149.9	 645	OK
  24	     0	80.6	150.0	 655	OK
  25	     0	82.1	153.0	 663	OK
  26	     0	77.8	146.0	 654	OK
  27	     0	79.6	147.6	 660	OK
  28	     0	81.4	151.3	 655	OK
  29	     0	80.9	151.4	 659	OK
  30	     0	79.1	149.1	 654	OK
  31	     0	81.6	152.6	 655	OK
  32	     0	82.2	152.1	 656	OK
  33	     0	80.4	148.5	 663	OK
  34	     0	80.1	150.1	 660	OK
  35	     0	80.4	149.0	 658	OK
  36	     0	78.8	149.9	 652	OK
  37	     0	81.4	149.7	 647	OK
  38	     0	80.4	147.5	 674	OK
  39	     0	81.5	151.3	 655	OK
  40	     0	79.9	148.1	 657	OK
  41	     0	80.6	149.4	 660	OK
  42	     0	79.1	146.8	 661	OK
  43	     0	80.5	149.0	 655	OK
  44	     0	82.0	152.1	 646	OK
  45	     0	80.4	150.0	 671	OK
  46	     0	81.4	153.0	 669	OK
  47	     0	80.4	151.1	 669	OK
  48	     0	78.8	148.8	 679	OK
  49	     0	80.4	150.8	 670	OK
  50	     0	80.2	149.5	 649	OK
  51	     0	81.8	152.4	 659	OK
  52	     0	78.9	146.9	 657	OK
  53	     0	81.2	151.7	 668	OK
  54	     0	79.8	148.8	 661	OK
  55	     0	80.8	149.6	 656	OK
  56	     0	79.6	150.5	 666	OK
  57	     0	79.4	150.0	 647	OK
  58	     0	80.0	151.3	 654	OK
  59	     0	79.2	150.8	 667	OK
  60	     0	81.5	150.9	 664	OK
  61	     0	81.1	151.9	 665	OK
  62	     0	83.5	155.5	 670	OK
  63	     0	81.2	152.8	 685	OK
  64	     0	83.0	155.5	 656	OK
  65	     0	83.2	154.6	 678	OK
  66	     0	79.5	149.2	 649	OK
  67	     0	81.0	151.6	 670	OK
  68	     0	82.2	150.2	 667	OK
  69	     0	82.2	152.1	 670	OK
  70	     0	80.8	149.6	 676	OK
  71	     0	80.1	148.8	 677	OK
  72	     0	79.8	148.2	 671	OK
  73	     0	81.5	151.4	 670	OK
  74	     0	79.7	147.8	 644	OK
  75	     0	80.4	151.1	 663	OK
  76	     0	80.6	153.5	 649	OK
  77	     0	80.8	150.6	 656	OK
  78	     0	78.3	146.5	 660	OK
  79	     0	78.5	148.6	 658	OK
  80	     0	83.1	154.5	 662	OK
  81	     0	78.6	147.9	 666	OK
  82	     0	79.7	148.1	 646	OK
  83	     0	79.8	150.1	 669	OK
  84	     0	82.2	151.9	 672	OK
  85	     0	81.6	150.4	 653	OK
  86	     0	80.6	150.2	 662	OK
  87	     0	79.4	147.0	 673	OK
  88	     0	80.3	149.4	 650	OK
  89	     0	81.9	153.2	 650	OK
  90	     0	80.0	148.9	 661	OK
  91	     0	80.0	148.9	 655	OK
  92	     0	78.4	147.3	 655	OK
  93	     0	80.6	151.4	 643	OK
  94	     0	80.0	149.8	 641	OK
  95	     0	81.1	148.6	 659	OK
  96	     0	77.8	144.5	 639	OK
  97	     0	78.1	146.6	 673	OK
  98	     0	79.6	146.5	 651	OK
  99	     0	81.9	151.9	 649	OK
 100	     0	79.7	148.1	 660	OK
 101	     0	81.5	152.0	 643	OK
 102	     0	81.4	150.4	 632	OK
 103	     0	81.9	148.5	 648	OK
 104	     0	79.6	147.8	 653	OK
 105	     0	82.4	154.1	 661	OK
 106	     0	78.5	146.1	 652	OK
 107	     0	81.0	151.5	 659	OK
 108	     0	81.8	152.6	 660	OK
 109	     0	82.9	152.7	 651	OK
 110	     0	83.3	152.5	 653	OK
 111	     0	80.7	150.8	 647	OK
 112	     0	81.2	151.6	 668	OK
 113	     0	82.3	152.0	 648	OK
 114	     0	83.0	153.9	 661	OK
 115	     0	82.3	152.9	 632	OK
 116	     0	80.0	149.7	 645	OK
 117	     0	79.9	150.0	 657	OK
 118	     0	82.8	151.5	 657	OK
 119	     0	81.3	150.6	 654	OK
 120	     0	81.7	150.0	 662	OK
 121	     0	80.1	150.7	 638	OK
 122	     0	79.5	147.6	 652	OK
 123	     0	83.7	153.8	 634	OK
 124	     0	82.4	154.2	 639	OK
 125	     0	82.3	152.3	 654	OK
 126	     0	80.9	149.4	 642	OK
 127	     0	84.1	153.2	 656	OK
 128	     0	77.3	144.7	 677	OK
 129	     0	79.0	149.0	 671	OK
 130	     0	77.5	146.7	 685	OK
 131	     0	77.5	143.9	 683	OK
 132	     0	79.0	148.1	 664	OK
 133	     0	75.8	142.4	 677	OK
 134	     0	74.3	140.2	 681	OK
 135	     0	74.7	141.6	 671	OK
 136	     0	74.2	138.9	 654	OK
 137	     0	76.8	144.9	 663	OK
 138	     0	76.3	141.5	 676	OK
 139	     0	75.2	142.0	 668	OK
 140	     0	76.3	141.4	 669	OK
 141	     0	74.3	141.5	 679	OK
 142	     0	75.1	141.8	 665	OK
 143	     0	75.7	140.3	 648	OK
 144	     0	75.6	142.3	 664	OK
 145	     0	74.1	139.4	 673	OK
 146	     0	75.2	140.8	 669	OK
 147	     0	74.4	140.7	 662	OK
 148	     0	74.8	140.1	 652	OK
 149	     0	73.3	140.6	 662	OK
 150	     0	72.9	137.0	 658	OK
 151	     0	75.8	142.1	 660	OK
 152	     0	73.8	138.2	 671	OK
 153	     0	74.3	139.7	 672	OK
 154	     0	76.1	142.3	 685	OK
 155	     0	73.8	141.2	 662	OK
 156	     0	72.6	137.8	 662	OK
 157	     0	73.4	139.9	 669	OK
 158	     0	71.7	137.1	 672	OK
 159	     0	74.4	139.8	 674	OK
 160	     0	73.8	139.9	 680	OK
 161	     0	72.7	138.7	 666	OK
 162	     0	76.9	143.6	 683	OK
 163	     0	74.3	140.4	 657	OK
 164	     0	74.6	141.2	 668	OK
 165	     0	75.1	139.5	 666	OK
 166	     0	74.6	141.6	 693	OK
 167	     0	71.6	135.3	 662	OK
 168	     0	76.4	143.4	 690	OK
 169	     0	77.4	147.0	 678	OK
 170	     0	75.1	139.4	 673	OK
 171	     0	77.0	143.3	 666	OK
 172	     0	72.7	138.7	 681	OK
 173	     0	73.8	140.1	 662	OK
 174	     0	75.5	141.2	 673	OK
 175	     0	75.0	143.2	 685	OK
 176	     0	74.9	140.3	 689	OK
 177	     0	75.7	140.5	 679	OK
 178	     0	76.5	143.3	 684	OK
 179	     0	74.2	141.5	 683	OK
 180	     0	72.9	139.1	 678	OK
 181	     0	74.7	139.7	 679	OK
 182	     0	78.1	146.5	 682	OK
 183	     0	75.4	142.5	 701	OK
 184	     0	70.7	135.8	 667	OK
 185	     0	73.6	140.0	 675	OK
 186	     0	75.2	143.2	 673	OK
 187	     0	74.5	143.3	 673	OK
 188	     0	74.5	143.0	 670	OK
 189	     0	76.2	144.7	 664	OK
 190	     0	76.9	144.8	 672	OK
 191	     0	76.3	144.2	 674	OK
 192	     0	74.8	142.9	 697	OK
 193	     0	74.0	142.6	 687	OK
 194	     0	74.8	141.7	 672	OK
 195	     0	75.4	143.9	 690	OK
 196	     0	74.4	141.6	 686	OK
 197	     0	75.7	142.3	 684	OK
 198	     0	74.4	141.3	 674	OK
 199	     0	72.8	138.5	 668	OK
 200	     0	74.4	141.2	 682	OK
 201	     0	75.1	142.2	 673	OK
 202	     0	73.3	140.4	 679	OK
 203	     0	73.2	138.3	 660	OK
 204	     0	74.3	139.8	 671	OK
 205	     0	73.9	140.8	 678	OK
 206	     0	73.0	139.4	 668	OK
 207	     0	74.3	141.8	 668	OK
 208	     0	72.9	137.8	 663	OK
 209	     0	73.8	140.8	 686	OK
 210	     0	72.6	139.0	 658	OK
 211	     0	74.7	141.8	 673	OK
 212	     0	73.4	139.1	 650	OK
 213	     0	75.8	142.4	 677	OK
 214	     0	75.0	141.9	 671	OK
 215	     0	73.2	139.7	 659	OK
 216	     0	69.9	134.6	 676	OK
 217	     0	72.6	137.9	 660	OK
 218	     0	73.3	137.7	 660	OK
 219	     0	74.2	141.0	 649	OK
 220	     0	73.2	139.1	 648	OK
 221	     0	73.3	138.6	 650	OK
 222	     0	74.7	143.3	 652	OK
 223	     0	74.3	141.6	 650	OK
 224	     0	73.1	138.3	 659	OK
 225	     0	72.9	137.8	 629	OK
 226	     0	70.5	135.3	 647	OK
 227	     0	76.1	145.4	 643	OK
 228	     0	72.6	138.7	 631	OK
 229	     0	75.2	140.4	 621	OK
 230	     0	73.2	138.4	 645	OK
 231	     0	73.0	138.3	 629	OK
 232	     0	73.9	139.1	 650	OK
 233	     0	75.9	143.9	 638	OK
 234	     0	72.9	141.1	 643	OK
 235	     0	73.7	139.5	 634	OK
 236	     0	73.6	139.2	 634	OK
 237	     0	72.7	137.9	 644	OK
 238	     0	74.0	139.5	 621	OK
 239	     0	75.6	144.9	 631	OK
 240	     0	75.5	142.1	 613	OK
 241	     0	74.8	140.7	 627	OK
 242	     0	75.5	141.9	 627	OK
 243	     0	74.2	141.3	 632	OK
 244	     0	75.5	141.5	 643	OK
 245	     0	73.0	138.1	 621	OK
 246	     0	73.2	139.6	 630	OK
 247	     0	73.5	140.0	 632	OK
 248	     0	72.8	138.4	 634	OK
 249	     0	75.9	142.2	 662	OK
 250	     0	74.3	142.4	 637	OK
 251	     0	74.5	141.5	 646	OK
 252	     0	75.1	142.6	 629	OK
 253	     0	75.1	142.5	 615	OK
 254	     0	75.1	142.8	 651	OK
 255	     0	75.2	142.4	 641	OK
 256	     0	85.1	159.6	 599	OK
 257	     0	84.2	158.0	 595	OK
 258	     0	84.9	159.0	 599	OK
 259	     0	86.6	161.5	 583	OK
 260	     0	86.8	163.5	 602	OK
 261	     0	85.8	161.0	 607	OK
 262	     0	85.9	162.3	 613	OK
 263	     0	85.7	161.6	 613	OK
 264	     0	83.8	158.1	 608	OK
 265	     0	85.2	160.4	 602	OK
 266	     0	84.7	158.4	 598	OK
 267	     0	85.7	159.3	 586	OK
 268	     0	86.9	162.4	 595	OK
 269	     0	84.7	159.1	 609	OK
 270	     0	85.6	161.5	 609	OK
 271	     0	87.4	161.7	 606	OK
 272	     0	84.7	161.4	 610	OK
 273	     0	87.1	164.8	 609	OK
 274	     0	86.0	162.0	 595	OK
 275	     0	85.3	158.0	 611	OK
 276	     0	84.8	160.6	 600	OK
 277	     0	84.5	158.4	 609	OK
 278	     0	84.4	157.8	 592	OK
 279	     0	83.9	157.1	 595	OK
 280	     0	85.4	162.6	 607	OK
 281	     0	84.0	157.9	 616	OK
 282	     0	84.5	159.5	 602	OK
 283	     0	86.8	162.3	 608	OK
 284	     0	87.4	163.4	 606	OK
 285	     0	85.3	161.0	 594	OK
 286	     0	84.4	160.0	 619	OK
 287	     0	82.6	155.5	 619	OK
 288	     0	83.3	157.3	 599	OK
 289	     0	85.3	158.4	 600	OK
 290	     0	85.7	162.0	 606	OK
 291	     0	83.7	157.0	 610	OK
 292	     0	85.7	160.3	 599	OK
 293	     0	84.7	158.7	 619	OK
 294	     0	88.9	167.3	 612	OK
 295	     0	86.9	162.4	 615	OK
 296	     0	85.0	159.8	 602	OK
 297	     0	85.5	161.1	 608	OK
 298	     0	85.4	161.1	 606	OK
 299	     0	82.3	155.6	 608	OK
 300	     0	83.4	156.7	 620	OK
 301	     0	82.1	153.5	 618	OK
 302	     0	85.6	160.2	 623	OK
 303	     0	87.2	161.9	 605	OK
 304	     0	86.0	160.8	 622	OK
 305	     0	84.2	157.2	 591	OK
 306	     0	85.0	159.6	 605	OK
 307	     0	83.3	156.8	 603	OK
 308	     0	83.8	156.7	 619	OK
 309	     0	83.7	158.0	 613	OK
 310	     0	82.0	153.9	 626	OK
 311	     0	85.0	159.9	 606	OK
 312	     0	82.9	155.9	 619	OK
 313	     0	84.4	159.1	 599	OK
 314	     0	86.1	160.6	 609	OK
 315	     0	84.2	159.1	 608	OK
 316	     0	84.6	157.0	 619	OK
 317	     0	83.7	158.9	 615	OK
 318	     0	85.1	160.3	 626	OK
 319	     0	85.9	160.9	 619	OK
 320	     0	83.8	156.9	 614	OK
 321	     0	84.9	159.7	 607	OK
 322	     0	82.5	153.9	 615	OK
 323	     0	81.7	155.3	 610	OK
 324	     0	80.4	149.2	 622	OK
 325	     0	81.5	153.2	 624	OK
 326	     0	84.0	157.6	 612	OK
 327	     0	82.6	156.1	 610	OK
 328	     0	84.1	155.6	 625	OK
 329	     0	83.2	156.1	 620	OK
 330	     0	82.9	155.1	 612	OK
 331	     0	82.2	154.6	 614	OK
 332	     0	83.9	156.7	 613	OK
 333	     0	84.2	158.7	 619	OK
 334	     0	82.8	153.8	 611	OK
 335	     0	81.9	153.2	 605	OK
 336	     0	84.4	158.3	 611	OK
 337	     0	84.3	157.8	 623	OK
 338	     0	82.7	155.8	 611	OK
 339	     0	82.8	153.1	 599	OK
 340	     0	81.6	154.0	 636	OK
 341	     0	82.5	155.1	 602	OK
 342	     0	84.3	157.8	 606	OK
 343	     0	84.6	156.7	 611	OK
 344	     0	83.0	154.6	 617	OK
 345	     0	85.9	160.4	 607	OK
 346	     0	83.2	155.7	 623	OK
 347	     0	82.7	156.1	 611	OK
 348	     0	83.1	154.8	 614	OK
