#chan	code	gain	vt50	innse	comment
   0	     0	84.4	112.5	 614	OK
   1	     0	83.1	113.0	 618	OK
   2	     0	80.8	111.7	 618	OK
   3	     0	79.1	108.5	 625	OK
   4	     0	80.5	112.4	 616	OK
   5	     0	81.1	111.3	 624	OK
   6	     0	80.6	112.0	 642	OK
   7	     0	82.2	112.5	 652	OK
   8	     0	79.2	109.8	 651	OK
   9	     0	83.6	113.8	 641	OK
  10	     0	76.8	108.7	 641	OK
  11	     0	78.4	111.0	 663	OK
  12	     0	80.4	113.6	 648	OK
  13	     0	78.2	110.1	 641	OK
  14	     0	78.0	108.9	 643	OK
  15	     0	79.6	110.1	 657	OK
  16	     0	76.7	106.9	 658	OK
  17	     0	81.0	112.4	 653	OK
  18	     0	76.8	109.4	 676	OK
  19	     0	80.5	111.1	 654	OK
  20	     0	75.7	106.5	 632	OK
  21	     0	78.1	108.3	 641	OK
  22	     0	77.0	107.7	 642	OK
  23	     0	78.8	110.2	 656	OK
  24	     0	79.6	109.8	 645	OK
  25	     0	80.6	112.0	 669	OK
  26	     0	76.1	107.4	 672	OK
  27	     0	78.4	107.9	 662	OK
  28	     0	80.2	110.9	 658	OK
  29	     0	78.7	111.8	 660	OK
  30	     0	77.9	109.9	 680	OK
  31	     0	80.1	112.1	 647	OK
  32	     0	81.3	111.7	 648	OK
  33	     0	79.0	108.6	 656	OK
  34	     0	79.0	109.9	 652	OK
  35	     0	78.5	109.3	 655	OK
  36	     0	77.8	110.3	 651	OK
  37	     0	80.1	109.2	 652	OK
  38	     0	78.8	107.6	 670	OK
  39	     0	80.7	110.8	 665	OK
  40	     0	78.7	108.3	 666	OK
  41	     0	79.2	109.1	 669	OK
  42	     0	77.6	107.6	 655	OK
  43	     0	79.2	109.2	 665	OK
  44	     0	80.7	111.0	 663	OK
  45	     0	79.0	109.9	 668	OK
  46	     0	80.3	112.7	 668	OK
  47	     0	79.4	111.2	 683	OK
  48	     0	77.8	109.8	 668	OK
  49	     0	78.9	111.1	 651	OK
  50	     0	78.8	109.7	 666	OK
  51	     0	80.0	112.1	 655	OK
  52	     0	77.4	107.7	 668	OK
  53	     0	79.4	111.2	 677	OK
  54	     0	78.8	109.0	 669	OK
  55	     0	79.8	109.4	 656	OK
  56	     0	78.8	110.8	 664	OK
  57	     0	77.9	110.1	 667	OK
  58	     0	78.7	111.2	 656	OK
  59	     0	78.3	111.8	 674	OK
  60	     0	80.7	110.2	 669	OK
  61	     0	79.7	112.1	 673	OK
  62	     0	82.1	113.5	 646	OK
  63	     0	80.8	112.0	 654	OK
  64	     0	82.1	114.7	 667	OK
  65	     0	82.5	113.8	 664	OK
  66	     0	78.2	110.1	 663	OK
  67	     0	80.2	111.4	 654	OK
  68	     0	80.5	109.8	 672	OK
  69	     0	81.2	111.2	 669	OK
  70	     0	79.4	109.7	 675	OK
  71	     0	78.6	109.3	 663	OK
  72	     0	78.6	108.4	 669	OK
  73	     0	79.7	110.9	 658	OK
  74	     0	78.0	108.0	 653	OK
  75	     0	79.3	110.6	 683	OK
  76	     0	79.7	113.2	 668	OK
  77	     0	79.6	110.4	 665	OK
  78	     0	76.6	107.4	 673	OK
  79	     0	77.4	109.6	 657	OK
  80	     0	81.8	113.1	 664	OK
  81	     0	76.8	108.6	 657	OK
  82	     0	78.3	108.4	 657	OK
  83	     0	78.1	110.9	 662	OK
  84	     0	81.1	111.3	 660	OK
  85	     0	80.3	110.2	 648	OK
  86	     0	79.4	110.6	 668	OK
  87	     0	77.3	108.0	 662	OK
  88	     0	79.2	109.7	 678	OK
  89	     0	81.1	112.4	 669	OK
  90	     0	78.5	109.4	 643	OK
  91	     0	78.2	109.1	 652	OK
  92	     0	76.5	108.2	 681	OK
  93	     0	78.7	111.6	 651	OK
  94	     0	79.1	110.1	 657	OK
  95	     0	79.6	108.2	 650	OK
  96	     0	76.3	106.1	 654	OK
  97	     0	76.4	107.8	 656	OK
  98	     0	77.7	106.9	 658	OK
  99	     0	80.5	111.1	 658	OK
 100	     0	78.5	108.7	 677	OK
 101	     0	79.9	111.5	 665	OK
 102	     0	80.0	109.9	 644	OK
 103	     0	80.5	108.1	 649	OK
 104	     0	78.1	108.4	 663	OK
 105	     0	80.6	113.1	 654	OK
 106	     0	76.7	107.2	 647	OK
 107	     0	79.8	111.0	 648	OK
 108	     0	80.6	111.9	 652	OK
 109	     0	81.4	111.4	 637	OK
 110	     0	82.0	111.1	 653	OK
 111	     0	79.6	110.4	 655	OK
 112	     0	79.5	111.4	 659	OK
 113	     0	80.5	111.3	 654	OK
 114	     0	82.1	112.4	 655	OK
 115	     0	81.2	112.0	 639	OK
 116	     0	78.1	110.1	 666	OK
 117	     0	78.0	110.8	 663	OK
 118	     0	81.0	110.4	 662	OK
 119	     0	80.1	110.0	 659	OK
 120	     0	80.9	110.0	 638	OK
 121	     0	78.0	110.6	 651	OK
 122	     0	78.1	107.9	 643	OK
 123	     0	82.7	112.9	 642	OK
 124	     0	81.2	113.2	 639	OK
 125	     0	80.9	111.4	 654	OK
 126	     0	78.8	109.1	 665	OK
 127	     0	83.2	111.2	 660	OK
 128	     0	75.8	105.7	 658	OK
 129	     0	77.6	109.4	 677	OK
 130	     0	76.2	107.9	 681	OK
 131	     0	76.4	105.0	 649	OK
 132	     0	77.9	108.8	 686	OK
 133	     0	74.5	104.6	 667	OK
 134	     0	72.6	103.2	 677	OK
 135	     0	73.4	104.0	 669	OK
 136	     0	72.6	102.1	 671	OK
 137	     0	75.4	106.5	 663	OK
 138	     0	74.3	103.8	 662	OK
 139	     0	73.6	104.3	 657	OK
 140	     0	74.7	103.4	 664	OK
 141	     0	72.6	104.6	 662	OK
 142	     0	73.3	104.4	 671	OK
 143	     0	73.2	102.9	 680	OK
 144	     0	73.5	104.5	 658	OK
 145	     0	72.4	102.5	 676	OK
 146	     0	73.5	103.3	 674	OK
 147	     0	72.6	104.0	 648	OK
 148	     0	72.8	102.9	 667	OK
 149	     0	70.9	104.2	 676	OK
 150	     0	71.1	100.8	 683	OK
 151	     0	74.0	104.1	 665	OK
 152	     0	72.4	101.2	 669	OK
 153	     0	72.4	102.9	 693	OK
 154	     0	74.7	104.1	 678	OK
 155	     0	72.4	104.2	 682	OK
 156	     0	71.1	101.4	 672	OK
 157	     0	71.9	103.2	 662	OK
 158	     0	69.7	101.4	 675	OK
 159	     0	72.9	102.5	 670	OK
 160	     0	72.3	103.3	 669	OK
 161	     0	70.5	102.6	 687	OK
 162	     0	75.9	105.3	 664	OK
 163	     0	72.9	103.4	 670	OK
 164	     0	73.1	104.1	 669	OK
 165	     0	73.0	101.9	 680	OK
 166	     0	72.9	104.3	 674	OK
 167	     0	69.8	99.7	 668	OK
 168	     0	74.4	105.5	 673	OK
 169	     0	76.2	108.8	 668	OK
 170	     0	73.7	102.3	 672	OK
 171	     0	75.2	105.1	 671	OK
 172	     0	70.7	102.6	 673	OK
 173	     0	72.7	103.3	 683	OK
 174	     0	74.2	103.2	 668	OK
 175	     0	73.4	105.9	 693	OK
 176	     0	73.3	102.9	 671	OK
 177	     0	74.4	103.2	 673	OK
 178	     0	75.6	104.6	 677	OK
 179	     0	72.7	104.3	 674	OK
 180	     0	71.2	102.8	 668	OK
 181	     0	73.1	102.7	 681	OK
 182	     0	77.3	107.3	 659	OK
